Relatório de Serviços Prestados
Inscrição Municipal: 0759971700286 Período Inicial: 01/06/2026 Período Final: 30/06/2026
Data Emissão;Documento;N°;CPF/CNPJ Tomador;Natureza Operação;Valor Documento;Valor Tributável;Alíquota;Imposto Retido;Tributado no Município;Status Recurso ISSQN;PIS;COFINS;CSLL;IRRF;INSS;OUTRAS RETENÇÕES;DESCONTO CONDICIONADO;DESCONTO INCONDICIONADO;DEDUCAO BASE CACULO;ITEM LC 116;CNAE;Valor Imposto;Pago;Aceite Tomador;Data Aceite
01/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2754;92.693.118/0001-60;Exigível;16554,92;16554,92;2,00;Não;Sim;;;;;;;;;;;421;8712300;331,10;Não;Não;
01/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2755;;Exigível;1526,14;1526,14;2,00;Não;Sim;;;;;;;;;;;421;8712300;30,52;Não;Não;
01/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2756;;Exigível;21435,51;21435,51;2,00;Não;Sim;;;;;;;;;;;421;8712300;428,71;Não;Não;
03/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2757;31.466.949/0020-78;Anulada;443,61;443,61;2,00;Sim;Sim;;;;;;;;;;;421;8712300;8,87;Não;Não;
03/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2758;31.466.949/0020-78;Exigível;443,61;443,61;2,00;Sim;Sim;;;;;;;;;;;421;8712300;8,87;Verificar junto ao tomador;Sim;14/07/2026
03/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2759;31.466.949/0020-78;Exigível;105801,03;105801,03;2,00;Sim;Sim;;;;;;;;;;;421;8712300;2116,02;Verificar junto ao tomador;Sim;01/07/2026
03/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2760;60.840.055/0021-85;Exigível;724,00;724,00;2,00;Sim;Sim;;;;;;;;;;;421;8712300;14,48;Verificar junto ao tomador;Sim;14/07/2026
08/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2761;03.657.699/0001-55;Exigível;8929,83;8929,83;2,00;Não;Sim;;58,04;267,89;89,30;133,94;;;;;;421;8712300;178,60;Não;Não;
09/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2762;92.693.118/0001-60;Exigível;610535,97;610535,97;2,00;Não;Sim;;;;;;;;;;;421;8712300;12210,72;Não;Não;
10/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2763;02.812.468/0001-06;Exigível;225104,45;225104,45;2,00;Não;Sim;;1463,18;6753,13;2251,04;3376,56;;;;;;421;8712300;4502,09;Não;Não;
10/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2764;92.693.118/0001-60;Exigível;33541,58;33541,58;2,00;Não;Sim;;;;;;;;;;;421;8712300;670,83;Não;Não;
11/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2765;01.685.053/0006-60;Exigível;8883,00;8883,00;2,00;Sim;Sim;;57,74;266,49;88,83;133,24;;;;;;421;8712300;177,66;Verificar junto ao tomador;Sim;14/07/2026
11/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2766;01.685.053/0006-60;Exigível;676928,99;676928,99;2,00;Sim;Sim;;4400,04;20307,87;6769,29;10153,93;;;;;;421;8712300;13538,58;Verificar junto ao tomador;Sim;14/07/2026
11/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2767;02.866.602/0001-51;Exigível;61541,53;61541,53;2,00;Não;Sim;;400,02;1846,25;615,42;923,12;;;;;;421;8712300;1230,83;Não;Não;
12/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2768;92.693.118/0001-60;Exigível;37245,71;37245,71;2,00;Não;Sim;;;;;;;;;;;421;8712300;744,91;Não;Não;
12/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2769;00.461.479/0001-63;Exigível;667,98;667,98;2,00;Não;Sim;;;;;;;;;;;421;8712300;13,36;Não;Não;
15/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2770;92.693.118/0001-60;Exigível;128,10;128,10;2,00;Não;Sim;;;;;;;;;;;421;8712300;2,56;Não;Não;
15/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2771;45.981.176/0001-00;Exigível;18998,23;18998,23;2,00;Não;Sim;;;;;;;;;;;421;8712300;379,96;Não;Não;
16/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2772;92.693.118/0001-60;Exigível;46313,34;46313,34;2,00;Não;Sim;;;;;;;;;;;421;8712300;926,27;Não;Não;
17/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2773;92.693.118/0001-60;Exigível;51444,21;51444,21;2,00;Não;Sim;;;;;;;;;;;421;8712300;1028,88;Não;Não;
17/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2774;15.011.651/0001-54;Exigível;18498,40;18498,40;2,00;Não;Sim;;;;;;;;;;;421;8712300;369,97;Não;Não;
18/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2775;92.693.118/0001-60;Exigível;166473,37;166473,37;2,00;Não;Sim;;;;;;;;;;;421;8712300;3329,47;Não;Não;
19/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2776;92.693.118/0001-60;Exigível;46435,21;46435,21;2,00;Não;Sim;;;;;;;;;;;421;8712300;928,70;Não;Não;
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2777;92.693.118/0001-60;Exigível;1038406,42;1038406,42;2,00;Não;Sim;;;;;;;;;;;421;8712300;20768,13;Não;Não;
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2778;04.487.255/0001-81;Exigível;547407,45;547407,45;2,00;Não;Sim;;3558,15;16422,22;5474,07;;;;;;;421;8712300;10948,15;Não;Não;
23/06/2026;Nota Fiscal de Serviço Eletrônica - NFS-e;2779;04.487.255/0001-81;Exigível;67758,36;67758,36;2,00;Não;Sim;;440,43;2032,75;677,58;;;;;;;421;8712300;1355,17;Não;Não;
