Situação;Nr. NF;Nr. RPS;Nº Documento Escriturado;Emissão;Compet.;Pagamento;Nome Empresarial;CNAE;Valor Serviço;Base Cálculo;Valor ISS
Ativa;2719;2720;;29/06/2026 10:47:23;06/2026;10/07/2026;BRADESCO SAUDE S/A;871230000;157.149,61;157.149,61;7.857,48;
Ativa;2718;2719;;26/06/2026 12:01:19;06/2026;10/07/2026;BRADESCO SAUDE S/A;871230000;110.606,30;110.606,30;5.530,31;
Ativa;2717;2718;;25/06/2026 11:18:51;06/2026;10/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;871230000;1.372,12;1.372,12;68,60;
Ativa;2716;2717;;24/06/2026 14:37:09;06/2026;10/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;871230000;19.877,15;19.877,15;993,85;
Ativa;2715;2716;;24/06/2026 14:37:07;06/2026;10/07/2026;BRADESCO SAUDE S/A;871230000;194.963,05;194.963,05;9.748,15;
Ativa;2714;2715;;22/06/2026 09:38:12;06/2026;10/07/2026;UNIMED CAMPINAS COOPERATIVA DE TRABALHO MEDICO;871230000;488.562,56;488.562,56;24.428,12;
Ativa;2713;2714;;16/06/2026 10:28:25;06/2026;10/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;871230000;1.241,90;1.241,90;62,09;
Ativa;2712;2713;;16/06/2026 10:28:23;06/2026;10/07/2026;BRADESCO SAUDE S/A;871230000;123.106,39;123.106,39;6.155,31;
Ativa;2711;2712;;12/06/2026 16:24:01;06/2026;10/07/2026;PORTO SEGURO - SEGURO SAUDE S/A;871230000;20.872,62;20.872,62;1.043,63;
Ativa;2710;2711;;11/06/2026 15:43:38;06/2026;10/07/2026;SUL AMERICA SERVICOS DE SAUDE S/A;871230000;720,00;720,00;36,00;
Ativa;2709;2710;;11/06/2026 15:43:36;06/2026;10/07/2026;SUL AMERICA COMPANHIA DE SEGURO SAUDE;871230000;2.880,00;2.880,00;144,00;
Ativa;2708;2709;;11/06/2026 15:43:34;06/2026;10/07/2026;SUL AMERICA SERVICOS DE SAUDE S/A;871230000;3.976,00;3.976,00;198,80;
Ativa;2707;2708;;11/06/2026 15:43:32;06/2026;10/07/2026;SUL AMERICA COMPANHIA DE SEGURO SAUDE;871230000;11.136,00;11.136,00;556,80;
Ativa;2706;2707;;08/06/2026 12:41:12;06/2026;10/07/2026;SINDIFISCO NACIONAL SIND NAC DOS AUD FISCAIS;871230000;49.820,33;49.820,33;2.491,01;
Ativa;2705;2706;;03/06/2026 10:02:37;06/2026;10/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;871230000;2.066,47;2.066,47;103,32;
