Tipo de Registro;Nº NFS-e;Data Hora NFE;Código de Verificação da NFS-e;Tipo de RPS;Série do RPS;Número do RPS;Data de Emissão do RPS;Inscrição Municipal do Prestador;Indicador de CPF/CNPJ do Prestador;CPF/CNPJ do Prestador;Razão Social do Prestador;Tipo do Endereço do Prestador;Endereço do Prestador;Número do Endereço do Prestador;Complemento do Endereço do Prestador;Bairro do Prestador;Cidade do Prestador;UF do Prestador;CEP do Prestador;Email do Prestador;Opção Pelo Simples;Situação da Nota Fiscal;Data de Cancelamento;Nº da Guia;Data de Quitação da Guia Vinculada a Nota Fiscal;Valor dos Serviços;Valor das Deduções;Código do Serviço Prestado na Nota Fiscal;Alíquota;ISS devido;Valor do Crédito;ISS Retido;PIS;COFINS;INSS;IRPJ;CSLL;Indicador de CPF/CNPJ do Tomador;CPF/CNPJ do Tomador;Inscrição Municipal do Tomador;Inscrição Estadual do Tomador;Razão Social do Tomador;Tipo do Endereço do Tomador;Endereço do Tomador;Número do Endereço do Tomador;Complemento do Endereço do Tomador;Bairro do Tomador;Cidade do Tomador;UF do Tomador;CEP do Tomador;Email do Tomador;Discriminação dos Serviços
2;8600;30/06/2026 16:54:46;LPD1LWWX;RPS;1;8583;30/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;22.936,82;0,00;421;3,00;688,10;0,00;N;0,00;0,00;0,00;0,00;0,00;2;15.011.651/0001-54;;;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;;AV PAULISTA;1450;AND. 10 T PTA NA. SEC;BELA VISTA;São Paulo;SP;01310-917;DEPENDENCIA@BRADESCOSEGUROS.COM.BR;Honorarios de servicos medicos - Valor aproximado do(s) Tributo(s): R$ 3085.00 (13.45%) Federal e R$ 1146.84 (5.00%) Municipal. . Fonte: IBPT                .
2;8599;30/06/2026 16:54:24;QFSYJWL3;RPS;1;8582;30/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;9.710,37;0,00;421;3,00;291,31;0,00;N;0,00;0,00;0,00;0,00;0,00;2;92.693.118/0001-60;;;BRADESCO SAUDE S/A;AV;Rio de Janeiro;555;19º andar;Caju;Rio de Janeiro;RJ;20931-675;contfiscal@bradescoseguros.com.br;HONORARIOS DE SERVICOS MEDICOS| - Valor aproximado do(s) Tributo(s): R$ 1306.04 (13.45%) Federal e R$ 485.52 (5.00%) Municipal.
2;8598;29/06/2026 16:38:18;L61MFWDF;RPS;;;;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;532.498,13;0,00;421;3,00;15.974,94;0,00;N;3.461,24;15.974,94;0,00;7.978,47;5.324,98;2;39.427.632/0001-71;;;ASSOCIACAO PETROBRAS DE SAUDE - APS;AVE;REPUBLICA DO CHILE;00065;SAL 302;CENTRO;Rio de Janeiro;RJ;20031-170;NFE@SAUDEPETROBRAS.COM.BR;Honorários de serviços médicos
2;8597;29/06/2026 10:23:48;AGYC1MRQ;RPS;1;8580;29/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;7.502,29;0,00;421;3,00;225,07;0,00;N;0,00;0,00;0,00;0,00;0,00;2;15.011.651/0001-54;;;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;;AV PAULISTA;1450;AND. 10 T PTA NA. SEC;BELA VISTA;São Paulo;SP;01310-917;DEPENDENCIA@BRADESCOSEGUROS.COM.BR;HONORARIOS DE SERVICOS MEDICOS - Valor aproximado do(s) Tributo(s): R$ 1009.06 (13.45%) Federal e R$ 375.12 (5.00%) Municipal. . Fonte: IBPT                .
2;8596;29/06/2026 10:23:48;DQ1BY4Q2;RPS;1;8579;29/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;326.028,81;0,00;421;3,00;9.780,86;0,00;N;0,00;0,00;0,00;0,00;0,00;2;92.693.118/0001-60;;;BRADESCO SAUDE S/A;AV;Rio de Janeiro;555;19º andar;Caju;Rio de Janeiro;RJ;20931-675;contfiscal@bradescoseguros.com.br;HONORARIOS DE SERVICOS MEDICOS - Valor aproximado do(s) Tributo(s): R$ 43850.85 (13.45%) Federal e R$ 16301.44 (5.00%) Municipal.
2;8595;29/06/2026 09:37:03;QYIQWZSP;RPS;;;;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;83.039,15;0,00;421;3,00;2.491,17;0,00;N;539,75;2.491,17;0,00;1.245,59;830,39;2;29.309.127/0001-79;;;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;AVE;DR CHUCRI ZAIDAN;S/N;EDIF  TR. B EMP. EZ TOWERSANDA;VILA SAO FRANCISCO (ZONA SUL);São Paulo;SP;04711-130;LEGALIZACAOBR@UHGBRASIL.COM.BR;Honorários de serviços médicos
2;8594;26/06/2026 12:08:18;AXUKDXLM;RPS;1;8577;26/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;24.019,47;0,00;421;3,00;720,58;0,00;N;0,00;0,00;0,00;0,00;0,00;2;92.693.118/0001-60;;;BRADESCO SAUDE S/A;AV;Rio de Janeiro;555;19º andar;Caju;Rio de Janeiro;RJ;20931-675;contfiscal@bradescoseguros.com.br;HONORARIOS DE SERVICOS MEDICOS - Valor aproximado do(s) Tributo(s): R$ 3230.62 (13.45%) Federal e R$ 1200.97 (5.00%) Municipal.
2;8593;25/06/2026 15:33:34;26YB7Q4G;RPS;;;;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5193263;21/07/2026 ;1.140.150,51;0,00;421;3,00;34.204,52;0,00;S;0,00;0,00;0,00;13.681,81;0,00;2;05.816.630/0001-52;00.225.182/002-94;;FUNDO ESTADUAL DE SAUDE DO ESTADO DA BAHIA;4ª;Centro Administrativo da Bahia;06;LADO B, 2º ANDAR;CENTRO ADMINISTRATIVO DA BAHIA;Salvador;BA;41745-002;;Honorários de serviços médicos |PROCESSO N°: 019.5120.2026.0098291-54|PRESTADOR: Bahia Home Care|CNPJ: 07.766.008/0001-02|OBJETO: Atenção Domiciliar|TERMO DE ADESÃO: 071/2024|VALOR: R$1.140.150,51|COMP: Abril/2026|DADOS BANCARIOS: Banco do Brasil  AG 2976-9 C/C 108098-9
2;8592;25/06/2026 10:26:08;GHUVTVPF;RPS;1;8575;25/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;C;25/06/2026 ;;;83.039,15;0,00;421;3,00;2.491,17;0,00;N;539,75;2.491,17;0,00;0,00;830,39;2;29.309.127/0001-79;;;AMIL ASSISTENCIA MEDICA INTERNACIONAL S/A;;AV DOUTOR CHUCRI ZAIDAN S/N;SN;;VILA SAO FRANCISCO;São Paulo;SP;04711-130;;HONORARIOS DE SERVICOS MEDICOS - Valor aproximado do(s) Tributo(s): R$ 11168.77 (13.45%) Federal e R$ 4151.96 (5.00%) Municipal. . Fonte: IBPT                .
2;8591;24/06/2026 14:24:38;JCWHEDXJ;RPS;1;8574;24/06/2026 ;00.271.122/001-86;2;07.766.008/0001-02;BAHIA HOME CARE SERVICOS MEDICOS DOMICILIARES LTDA;Rua;Professor Ronald Gonçalves dos Santos;38;;ARMAÇÃO;Salvador;BA;41750-125;fiscal@homedoctor.com.br;0;T;;5170398;06/07/2026 ;5.358,47;0,00;421;3,00;160,75;0,00;N;0,00;0,00;0,00;0,00;0,00;2;15.011.651/0001-54;;;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;;AV PAULISTA;1450;AND. 10 T PTA NA. SEC;BELA VISTA;São Paulo;SP;01310-917;DEPENDENCIA@BRADESCOSEGUROS.COM.BR;HONORARIOS DE SERVICOS MEDICOS - Valor aproximado do(s) Tributo(s): R$ 720.72 (13.45%) Federal e R$ 267.93 (5.00%) Municipal. . Fonte: IBPT                .
