Situação;Nr. NF;Nr. RPS;Nº Documento Escriturado;Emissão;Compet.;Pagamento;Razão Social;CNAE;Valor Serviço;Base Cálculo;Valor ISS
Ativa;1183;2613;;26/06/2026 11:58:06;06/2026;20/07/2026;BRADESCO SAUDE S/A;861010201;135.200,70;135.200,70;2.704,01;
Ativa;1182;2612;;26/06/2026 11:58:05;06/2026;20/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;861010201;9.792,60;9.792,60;195,85;
Ativa;1181;2611;;24/06/2026 15:03:26;06/2026;20/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;861010201;15.647,06;15.647,06;312,94;
Ativa;1180;2610;;24/06/2026 15:03:25;06/2026;20/07/2026;BRADESCO SAUDE S/A;861010201;50.076,77;50.076,77;1.001,53;
Ativa;1179;2609;;16/06/2026 10:49:20;06/2026;20/07/2026;BRADESCO SAUDE - OPERADORA DE PLANOS S/A;861010201;23.332,56;23.332,56;466,65;
Ativa;1178;2608;;12/06/2026 16:50:35;06/2026;20/07/2026;PORTO SEGURO - SEGURO SAUDE S/A;861010201;53.248,51;53.248,51;1.064,97;
Ativa;1177;2607;;11/06/2026 15:26:21;06/2026;20/07/2026;SUL AMERICA SERVICOS DE SAUDE S/A;861010201;240,00;240,00;4,80;
Ativa;1176;2606;;11/06/2026 15:26:20;06/2026;20/07/2026;SUL AMERICA SERVICOS DE SAUDE S/A;861010201;5.416,00;5.416,00;108,32;
Ativa;1175;2605;;11/06/2026 15:26:16;06/2026;20/07/2026;SUL AMERICA COMPANHIA DE SEGURO SAUDE;861010201;6.992,00;6.992,00;139,84;
Ativa;1174;2604;;11/06/2026 15:26:15;06/2026;20/07/2026;SUL AMERICA SERVICOS DE SAUDE S/A;861010201;240,00;240,00;4,80;
